COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Germany,Technische Universität München,Erg 01 Prospective Ergonomics,ISE 3614 Intro to Human Factors Engr,Industrial & Systems,Virginia Tech,00-01
Germany,Technische Universität München,Ind 01 Indus Mgmt Theory,ISE 4404 Theory of Organization ,Industrial & Systems,Virginia Tech,00-01
Germany,Technische Universität München,Com 01 Computer Integrated Manufact,ISE 4244 Fdmntls of Comp Intg Manf,Industrial & Systems,Virginia Tech,00-01
Germany,Technische Universität München,"Mat 01 Assembly, Mat Hdlng and Robot",ISE 4264 Industrial Automation,Industrial & Systems,Virginia Tech,00-01
Germany,Technische Universität München,Mat 02 Material Flow and Logistics,ISE 4424 Logistics Engineering ,Industrial & Systems,Virginia Tech,00-01
Germany,Technische Universität München,Prod 01 Production Ergonomics,ISE 3014 Work Measur and Mthds Engr,Industrial & Systems,Virginia Tech,00-01
France,EPF D'Ingenieur,#,FR 3105 Gram/Comp/Con,French minor,Virginia Tech,00-01
France,EPF D'Ingenieur,#,FR 3106 Gram/Comp/Con,French minor,Virginia Tech,00-01
United Kingdom,"University of Wales, Swansea",ME-104 Thermodynamics I,ME 3124 Thermodynamics,Mechanical Engineering,Virginia Tech,Fall 2000
United Kingdom,"University of Wales, Swansea",ME-203 Dynamics 1,ME 3504 Vibrations,Mechanical Engineering,Virginia Tech,Fall 2000
United Kingdom,"University of Wales, Swansea",MT-101 Intro to Materials Engineering,MSE 2034 Elements of Mat. Engr.,Mechanical Engineering,Virginia Tech,Fall 2000
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,Cv 853 Geotechnics,CEE 3514 Soil Mechnics,Civil Environmental ,Virginia Tech,Fall 2000
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,Cv 865 Hydraulic Engineering I,CEE 4304 Hydrology,Civil Environmental ,Virginia Tech,Fall 2000
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,Ma 841 Differential Equations,Math 2214 Differential Equations,Civil Environmental ,Virginia Tech,Fall 2000
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,Ip 051 Latin American Literature,Span 3324 (Area 2 Core Class),Spanish,Virginia Tech,Fall 2000
